smiles,e_t
N#CCCn1nc(SC2CCCCC2)c(=O)[nH]c1=O,50.42140094633214
C[C@@H]1CNC(=O)CCN1Cc1cc(C(C)(C)C)[nH]n1,84.01514620077796
CCOC(=O)CCC(CCC(=O)OCC)=NO,53.70535280078184
O=C1N(CC2CC2)[C@H](c2cc[nH]n2)NC12CCCC2,92.6835400458658
Fc1ccccc1S,74.23877306212671
C/N=C(\N[C@@H]1C[C@@H]1C)N1CCC(C)CC1,69.0200191795011
CCSc1nnc(-c2ccc(OC)cc2)n1N,68.16447471058927
O=C(N[C@@H]1CCCCNC1=O)c1cccc(Cl)c1,74.93140376650263
N#C[C@]1(C=O)C[C@@H]1S(=O)(=O)c1ccc(Cl)cc1,76.88127677398734
COCc1ccc(C(=O)N2[C@@H]3CCNC[C@@H]2CC3)s1,62.26245808997192
Ic1n[nH]nc1I,74.97529582597781
CCNc1ccc2nonc2c1[N+](=O)[O-],49.79697550955461
CCn1ccc(CN2CC[C@H](O)CC(C)(C)C2)n1,86.02973432576982
C[C@H](C(=O)N1CCCCCC1)n1cc([N+](=O)[O-])cn1,62.34066090779379
O=C(c1cccnc1)N1CC(Oc2cccnc2)C1,76.78917441691738
O=S(=O)(CCNc1ccc(Cl)cn1)NCC1CCC1,68.73906446876936
CSCC[C@@H]1NC(=O)c2cc(N)ccc2NC1=O,59.23217937524896
O=C(NCCC(=O)N1CCCCCC1)c1ccco1,66.21138237754349
CCN(CC1CC1)S(=O)(=O)NCc1ccoc1,72.82565589644946
C=C(B1OCCN(C)CCO1)c1ccccc1,50.95763723005075
C[N+](C)(C)[C@@H]1CCCCCNC(=O)CC1,90.87494769919432
CCOCCC/N=C(/O)N[C@H](C(=O)O)[C@H](C)CC,74.24618370516691
Clc1ncc2c(I)n[nH]c2n1,64.14210982562508
CCc1nn(C)cc1C/N=C(\N)N1CCCCCC1,73.11223271331983
CC(C)(C)C(=O)Nc1cnn(C[C@@H]2CCOC2)c1,80.43332364101661
CCN(C)S(=O)(=O)N[C@@H]1[C@H](c2ccccc2)C1(C)C,81.78536655241624
CCSc1nnc(NC(=O)[C@@H]2CSCCC(=O)N2)s1,66.15704953880049
C#CCn1c(=O)n(C2CC2)c(=O)c2ccccc21,74.03226861864096
Nc1nc2cc(Cl)cc([N+](=O)[O-])c2o1,48.85746090312023
COc1cc(C(=O)NC2CC2)cc(OC)c1OC,63.45072605099995
CNC(=O)[C@@H]1Cc2ccccc2CN1C(=O)C1CC1,84.35800546826795
COCC1(CNC(=O)c2cc(O)ccc2F)CC1,68.74077375466004
COC(=O)c1cc([N+](=O)[O-])cc(C)c1C,62.75431454961654
Cc1cccc(NCC2(S(N)(=O)=O)CCC2)n1,73.33735887520015
Cc1cccc2c(OC[C@@H]3CO3)cc(=O)[nH]c12,68.938066788367
